attack_name,max_iter,epsilon,accuracy,correct_predictions,saved_images,failed_budget,total_images,mean_linf_applied,time_elapsed_s
DeepFool,1,0.1,10.0,10,98,2,100,0.0481,96.05
DeepFool,1,1.0,3.0,3,67,33,100,0.0682,91.0
DeepFool,1,10.0,0.0,0,0,100,100,0.0,87.82
DeepFool,1,50.0,0.0,0,0,100,100,0.0,98.01
DeepFool,1,100.0,0.0,0,0,100,100,0.0,87.83
DeepFool,5,0.1,1.0,1,95,5,100,0.0509,106.56
DeepFool,5,1.0,1.0,1,60,40,100,0.0709,104.86
DeepFool,5,10.0,0.0,0,0,100,100,0.0,104.7
DeepFool,5,50.0,0.0,0,0,100,100,0.0,107.38
DeepFool,5,100.0,0.0,0,0,100,100,0.0,100.03
DeepFool,10,0.1,1.0,1,94,6,100,0.0506,107.92
DeepFool,10,1.0,1.0,1,60,40,100,0.0709,102.07
DeepFool,10,10.0,0.0,0,0,100,100,0.0,103.66
DeepFool,10,50.0,0.0,0,0,100,100,0.0,103.31
DeepFool,10,100.0,0.0,0,0,100,100,0.0,102.31
DeepFool,20,0.1,1.0,1,94,6,100,0.0506,104.9
DeepFool,20,1.0,1.0,1,60,40,100,0.0709,100.06
DeepFool,20,10.0,0.0,0,0,100,100,0.0,108.66
DeepFool,20,50.0,0.0,0,0,100,100,0.0,101.68
DeepFool,20,100.0,0.0,0,0,100,100,0.0,105.26
DeepFool,50,0.1,1.0,1,94,6,100,0.0506,101.17
DeepFool,50,1.0,1.0,1,60,40,100,0.0709,103.77
DeepFool,50,10.0,0.0,0,0,100,100,0.0,106.17
DeepFool,50,50.0,0.0,0,0,100,100,0.0,101.47
DeepFool,50,100.0,0.0,0,0,100,100,0.0,105.3
