experiment,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auroc,best_found_so_far
Experiment B — EfficientNet-B0,1,0.5276,74.0028,0.4979,74.2964,0.7481,0.7377,0.7429,0.8301,False
Experiment B — EfficientNet-B0,2,0.2856,88.7346,0.3737,83.6093,0.8596,0.8059,0.8319,0.9095,False
Experiment B — EfficientNet-B0,3,0.1518,94.2545,0.2762,88.7831,0.9008,0.8734,0.8868,0.9543,False
Experiment B — EfficientNet-B0,4,0.0835,97.0679,0.2408,90.6043,0.9349,0.8742,0.9035,0.9691,False
Experiment B — EfficientNet-B0,5,0.0578,98.0176,0.2208,91.8874,0.9397,0.8964,0.9175,0.9749,False
Experiment B — EfficientNet-B0,6,0.042,98.6111,0.2496,91.4321,0.9607,0.8651,0.9104,0.9751,False
Experiment B — EfficientNet-B0,7,0.0316,98.9554,0.2325,92.6738,0.9601,0.8914,0.9245,0.9786,False
Experiment B — EfficientNet-B0,8,0.0277,99.1097,0.1899,93.6672,0.9455,0.9276,0.9365,0.9819,False
Experiment B — EfficientNet-B0,9,0.0245,99.1097,0.2425,92.4255,0.9649,0.8816,0.9214,0.9819,False
Experiment B — EfficientNet-B0,10,0.0183,99.4183,0.2127,93.5844,0.9691,0.9013,0.934,0.9843,False
Experiment B — EfficientNet-B0,11,0.017,99.5252,0.2375,93.6672,0.9618,0.9104,0.9354,0.982,False
Experiment B — EfficientNet-B0,12,0.0184,99.3352,0.2171,93.2119,0.9696,0.8931,0.9298,0.9866,False
Experiment B — EfficientNet-B0,13,0.0146,99.537,0.2389,93.5017,0.9707,0.898,0.9329,0.9843,False
Experiment B — EfficientNet-B0,14,0.0157,99.4896,0.2217,93.75,0.9776,0.8964,0.9352,0.987,False
Experiment B — EfficientNet-B0,15,0.0144,99.5845,0.1992,94.3709,0.9655,0.9211,0.9428,0.9863,False
Experiment B — EfficientNet-B0,16,0.0113,99.5964,0.2196,93.6672,0.9758,0.8964,0.9344,0.9864,False
Experiment B — EfficientNet-B0,17,0.0111,99.6795,0.2247,93.9983,0.9752,0.9038,0.9381,0.9876,False
Experiment B — EfficientNet-B0,18,0.01,99.6439,0.2056,94.5364,0.9754,0.9145,0.944,0.9881,False
Experiment B — EfficientNet-B0,19,0.009,99.7863,0.2204,94.1639,0.9736,0.9087,0.94,0.9871,False
Experiment B — EfficientNet-B0,20,0.007,99.8101,0.2121,94.8262,0.9764,0.9194,0.9471,0.9878,False
Experiment B — EfficientNet-B0,21,0.0086,99.7507,0.1915,95.1573,0.9725,0.9301,0.9508,0.9891,False
Experiment B — EfficientNet-B0,22,0.008,99.7982,0.2104,94.4536,0.9779,0.9104,0.9429,0.9884,False
Experiment B — EfficientNet-B0,23,0.0098,99.6676,0.2014,94.5778,0.9771,0.9137,0.9443,0.9898,False
Experiment B — EfficientNet-B0,24,0.0082,99.6914,0.1834,95.1159,0.9733,0.9285,0.9503,0.9904,False
Experiment B — EfficientNet-B0,25,0.007,99.7982,0.2025,94.9503,0.9757,0.9227,0.9484,0.9892,False
Experiment B — EfficientNet-B0,26,0.0074,99.7388,0.2128,94.6606,0.9814,0.9112,0.945,0.9893,False
Experiment B — EfficientNet-B0,27,0.0095,99.7151,0.1956,94.2467,0.977,0.9071,0.9407,0.991,False
Experiment B — EfficientNet-B0,28,0.0073,99.727,0.1701,95.8195,0.9785,0.9375,0.9576,0.9921,False
Experiment B — EfficientNet-B0,29,0.0051,99.7982,0.1906,95.4056,0.9784,0.9293,0.9532,0.9916,False
Experiment B — EfficientNet-B0,30,0.0081,99.7388,0.1569,95.9437,0.9786,0.94,0.9589,0.9928,True
Experiment B — EfficientNet-B0,31,0.0085,99.6557,0.1763,95.3642,0.975,0.9317,0.9529,0.9925,False
Experiment B — EfficientNet-B0,32,0.0074,99.727,0.1759,95.7781,0.9802,0.935,0.9571,0.991,False
Experiment B — EfficientNet-B0,33,0.0042,99.8694,0.1733,95.654,0.976,0.9367,0.9559,0.9922,False
Experiment B — EfficientNet-B0,34,0.0054,99.8101,0.1874,95.6954,0.9793,0.9342,0.9562,0.9919,False
Experiment B — EfficientNet-B0,35,0.0051,99.7863,0.1581,96.0679,0.9803,0.9408,0.9601,0.9934,False
Experiment B — EfficientNet-B0,36,0.0062,99.8338,0.1998,94.9917,0.9798,0.9194,0.9487,0.9911,False
Experiment B — EfficientNet-B0,37,0.0046,99.8575,0.2056,95.7368,0.9886,0.926,0.9563,0.9923,False
Experiment B — EfficientNet-B0,38,0.0036,99.8813,0.1911,95.9437,0.9878,0.9309,0.9585,0.9929,False
Experiment B — EfficientNet-B0,39,0.0056,99.8101,0.1802,95.4884,0.986,0.9235,0.9537,0.993,False
Experiment B — EfficientNet-B0,40,0.0049,99.8338,0.1887,95.7368,0.9827,0.9317,0.9565,0.993,False
Experiment B — EfficientNet-B0,41,0.0041,99.8813,0.1972,95.7781,0.9852,0.9301,0.9569,0.9914,False
Experiment B — EfficientNet-B0,42,0.0066,99.7982,0.1967,95.8195,0.9844,0.9317,0.9573,0.9921,False
Experiment B — EfficientNet-B0,43,0.0078,99.7507,0.1831,95.6954,0.9826,0.9309,0.9561,0.9931,False
Experiment B — EfficientNet-B0,44,0.0041,99.8932,0.1837,96.0265,0.9819,0.9383,0.9596,0.9928,False
Experiment B — EfficientNet-B0,45,0.0023,99.9644,0.1605,96.2334,0.982,0.9424,0.9618,0.9936,False
Experiment B — EfficientNet-B0,46,0.0057,99.7626,0.1745,96.0679,0.9787,0.9424,0.9602,0.9929,False
Experiment B — EfficientNet-B0,47,0.0039,99.9169,0.1904,95.7781,0.9785,0.9367,0.9571,0.992,False
Experiment B — EfficientNet-B0,48,0.0025,99.9288,0.1889,95.8609,0.9852,0.9317,0.9577,0.9929,False
Experiment B — EfficientNet-B0,49,0.0055,99.8694,0.162,96.1093,0.9787,0.9433,0.9606,0.9931,False
Experiment B — EfficientNet-B0,50,0.0036,99.8338,0.204,94.8675,0.9832,0.9137,0.9471,0.9931,False
